,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,verkhnevilyuysk,63.4453,120.3167,-59.11,100,88,0.46,RU,1673660652
271,oktyabrskiy,54.4815,53.471,-12.98,77,100,5.97,RU,1673660653
272,pochutla,15.7432,-96.4661,26.01,74,0,1.53,MX,1673660653
273,san cristobal,7.7669,-72.225,22.1,89,3,0.87,VE,1673660654
274,leh,34.1667,77.5833,-13.72,91,92,2.47,IN,1673660654
275,gabu,12.2833,-14.2167,20.47,25,60,0.39,GW,1673660655
276,copiapo,-27.3667,-70.3333,15.83,75,0,1.8,CL,1673660656
277,provideniya,64.3833,-173.3,-17.62,93,12,3.48,RU,1673660657
278,torrington,41.8007,-73.1212,3.21,86,100,4.92,US,1673660657
279,tubuala,9.5167,-79.0333,26.3,83,100,6.97,PA,1673660658
280,panaba,21.2833,-88.2667,19.21,66,0,4.64,MX,1673660659
281,pyshchug,58.8873,45.7134,-7.09,94,100,4.33,RU,1673660660
282,mogadishu,2.0371,45.3438,24.57,83,15,7.31,SO,1673660660
283,bolivar,37.6145,-93.4105,-2.58,88,9,1.39,US,1673660661
284,shizunai,42.3339,142.3669,4.64,87,100,4.92,JP,1673660661
285,bonavista,48.6499,-53.1147,-0.55,96,100,11.52,CA,1673660662
286,monrovia,6.3005,-10.7969,25.67,86,100,1.86,LR,1673660663
287,los llanos de aridane,28.6585,-17.9182,16.18,72,75,5.14,ES,1673660663
288,kozhva,65.1073,57.0459,-6.11,94,99,3.07,RU,1673660665
289,bethel,41.3712,-73.414,4.17,73,100,5.66,US,1673660463
290,half moon bay,37.4636,-122.4286,14.62,88,100,5.14,US,1673660666
291,bubaque,11.2833,-15.8333,24.8,69,75,3.67,GW,1673660667
292,florianopolis,-27.6146,-48.5012,22.01,92,40,4.12,BR,1673660668
293,ribeira grande,38.5167,-28.7,15.43,95,100,3.58,PT,1673660669
294,high level,58.5169,-117.136,-9.94,92,100,4.63,CA,1673660669
295,moose factory,51.2585,-80.6094,-26.01,76,0,0.0,CA,1673660670
296,kuryk,43.2,51.65,-5.06,42,0,12.21,KZ,1673660671
297,te anau,-45.4167,167.7167,22.96,44,10,1.19,NZ,1673660672
298,nome,64.5011,-165.4064,-20.47,99,0,0.0,US,1673660673
299,constitucion,-35.3333,-72.4167,13.25,85,1,5.72,CL,1673660674
300,messina,38.1933,15.5497,14.0,73,75,4.63,IT,1673660674
301,manta,-0.95,-80.7333,25.88,78,100,3.09,EC,1673660675
302,hokitika,-42.7167,170.9667,21.45,70,14,3.89,NZ,1673660675
303,birin,26.8865,88.0718,7.35,55,0,1.39,NP,1673660677
304,ovalle,-30.5983,-71.2003,21.44,54,0,1.92,CL,1673660677
305,kahului,20.8947,-156.47,27.01,61,20,3.58,US,1673660678
306,rio esteban,15.8333,-86.3,21.94,88,33,1.98,HN,1673660679
307,puerto baquerizo moreno,-0.9,-89.6,23.2,81,71,2.9,EC,1673660680
308,geraldton,-28.7667,114.6,28.23,39,0,10.8,AU,1673660681
309,cavalcante,-13.7975,-47.4583,20.99,87,100,0.96,BR,1673660682
310,saldus,56.6636,22.4881,4.99,89,100,5.63,LV,1673660682
311,ayan,56.45,138.1667,-29.01,60,1,7.94,RU,1673660684
312,kavaratti,10.5669,72.642,26.76,67,93,6.24,IN,1673660685
313,northam,51.0333,-4.2167,10.14,96,100,11.94,GB,1673660686
314,saint-georges,12.0564,-61.7485,24.82,83,20,4.63,GD,1673660688
315,bassila,9.0081,1.6654,21.44,24,8,2.34,BJ,1673660688
316,nanortalik,60.1432,-45.2371,-7.15,62,100,3.79,GL,1673660689
317,arraial do cabo,-22.9661,-42.0278,24.98,88,0,3.6,BR,1673660689
318,lavrentiya,65.5833,-171.0,-21.65,92,28,2.56,RU,1673660691
319,rio grande,-32.035,-52.0986,21.54,92,100,3.78,BR,1673660691
320,pastavy,55.1168,26.8326,1.95,97,100,5.65,BY,1673660692
321,meulaboh,4.1363,96.1285,25.61,84,52,1.34,ID,1673660692
322,hudiksvall,61.729,17.1036,0.6,96,100,1.37,SE,1673660692
323,odweyne,9.4092,45.064,16.33,77,64,2.23,SO,1673660693
324,alta floresta,-9.8756,-56.0861,21.69,98,100,0.95,BR,1673660694
325,pokhara,28.2333,83.9833,11.6,27,0,2.45,NP,1673660695
326,nemuro,43.3236,145.575,-0.03,88,100,9.17,JP,1673660400
327,lata,40.1629,-8.3327,8.93,89,100,1.48,PT,1673660696
328,santa rosa,14.3122,121.1114,28.94,74,100,2.09,PH,1673660697
329,stornoway,58.2093,-6.3865,5.98,82,100,5.14,GB,1673660697
330,itarema,-2.9248,-39.9167,25.99,83,54,5.91,BR,1673660698
331,sayyan,15.1718,44.3244,9.93,55,10,0.43,YE,1673660698
332,cabra,37.4725,-4.4421,7.73,62,7,1.42,ES,1673660699
333,mayo,38.8876,-76.5119,5.64,64,100,6.17,US,1673660700
334,tateyama,34.9833,139.8667,16.96,94,75,7.72,JP,1673660628
335,tuktoyaktuk,69.4541,-133.0374,-21.0,84,75,7.72,CA,1673660701
336,portobelo,9.55,-79.65,25.53,85,94,5.71,PA,1673660703
337,coahuayana,18.7333,-103.6833,22.23,79,0,0.8,MX,1673660703
338,ca mau,9.1769,105.15,27.57,76,8,1.77,VN,1673660547
339,hingorja,27.2109,68.416,6.65,19,1,3.03,PK,1673660706
340,jingdezhen,29.2947,117.2079,11.49,89,100,4.53,CN,1673660708
341,maryborough,-25.5333,152.7,22.28,71,100,4.46,AU,1673660708
342,haines junction,60.7522,-137.5108,-13.72,99,100,0.41,CA,1673660709
343,naguabo,18.2116,-65.7349,24.94,87,20,2.06,PR,1673660710
344,saint anthony,45.0205,-93.218,-7.47,88,100,2.57,US,1673660711
345,catalao,-18.1658,-47.9464,20.06,92,100,1.08,BR,1673660712
346,kurchum,48.5722,83.6542,-30.57,99,74,0.52,KZ,1673660712
347,izumo,35.3667,132.7667,11.97,100,75,0.0,JP,1673660442
348,okato,-39.2,173.8833,19.27,56,0,3.4,NZ,1673660714
349,hirado,33.3597,129.5531,15.77,92,67,2.5,JP,1673660695
350,karasburg,-28.0167,18.75,22.43,37,0,4.09,NA,1673660419
351,do gonbadan,30.3586,50.7981,9.05,76,75,0.0,IR,1673660717
352,pierre,44.3683,-100.351,-4.52,89,0,3.09,US,1673660718
353,dingle,10.9995,122.6711,26.82,84,80,4.51,PH,1673660718
354,mantua,45.1667,10.7833,1.72,77,41,0.98,IT,1673660719
355,starobaltachevo,56.0013,55.9213,-11.7,80,100,7.31,RU,1673660720
356,mao,39.8885,4.2658,7.31,93,0,0.0,ES,1673660721
357,port elizabeth,-33.918,25.5701,20.17,79,0,2.57,ZA,1673660722
358,mount gambier,-37.8333,140.7667,36.71,15,3,1.28,AU,1673660722
359,pangnirtung,66.1451,-65.7125,-32.8,100,100,1.0,CA,1673660723
360,sao gabriel da cachoeira,-0.1303,-67.0892,22.35,98,95,0.34,BR,1673660725
361,hami,42.8,93.45,-14.65,66,5,1.59,CN,1673660725
362,saint-pierre,-21.3393,55.4781,24.95,69,0,2.57,RE,1673660726
363,narsaq,60.9167,-46.05,-13.88,74,99,4.65,GL,1673660726
364,gushikawa,26.3544,127.8686,23.77,73,75,7.72,JP,1673660727
365,chapais,49.7834,-74.8492,-19.12,88,11,3.71,CA,1673660727
366,tromso,69.6496,18.957,2.01,69,75,7.2,NO,1673660727
367,puerto narino,-3.7703,-70.3831,21.86,93,86,0.54,CO,1673660729
368,soc trang,9.6033,105.98,26.82,77,34,1.84,VN,1673660691
369,marsala,37.7966,12.4352,14.97,88,40,6.17,IT,1673660729
370,dicabisagan,17.0818,122.4157,26.72,77,84,1.92,PH,1673660730
371,dhidhdhoo,6.8833,73.1,26.13,69,22,3.73,MV,1673660731
372,aksarka,66.5606,67.7975,-17.93,97,100,2.05,RU,1673660732
373,lapi,17.716,121.8978,27.32,71,31,1.37,PH,1673660734
374,coffs harbour,-30.3,153.1333,25.98,61,100,3.6,AU,1673660735
375,henties bay,-22.116,14.2845,18.42,83,97,2.58,NA,1673660735
376,abrau-dyurso,44.69,37.59,-4.3,75,0,1.97,RU,1673660737
377,solano,38.2333,-121.9511,14.21,89,75,4.63,US,1673660737
378,atambua,-9.1061,124.8925,27.21,69,85,2.29,ID,1673660737
379,bom jardim,-7.7958,-35.5872,22.57,89,36,2.31,BR,1673660738
380,gat,31.61,34.7642,13.55,100,7,4.15,IL,1673660739
381,abeche,13.8292,20.8324,17.56,20,0,4.06,TD,1673660740
382,broome,42.2506,-75.833,-1.83,87,100,6.17,US,1673660741
383,georgiyevka,43.0369,74.7114,-26.98,76,20,1.0,KZ,1673660741
384,upernavik,72.7868,-56.1549,-18.43,60,100,2.84,GL,1673660742
385,goderich,43.7501,-81.7165,-2.83,74,100,7.2,CA,1673660742
386,stykkisholmur,65.0757,-22.7297,-6.7,89,90,4.38,IS,1673660743
387,leninskoye,41.7589,69.3864,-21.04,75,5,2.4,KZ,1673660744
388,xichang,27.8964,102.2634,8.96,59,4,0.75,CN,1673660582
389,diego de almagro,-26.3667,-70.05,16.74,60,0,1.51,CL,1673660745
390,kuteynykove,47.8123,38.2882,-2.58,91,100,5.83,UA,1673660746
391,kedougou,12.5579,-12.1743,23.63,21,31,1.23,SN,1673660747
392,baruun-urt,46.6806,113.2792,-25.55,91,5,3.82,MN,1673660747
393,port macquarie,-31.4333,152.9167,24.94,55,99,4.38,AU,1673660506
394,ligayan,4.6533,119.4706,27.11,80,98,7.68,PH,1673660749
395,setermoen,68.861,18.3486,-5.5,92,58,0.89,NO,1673660750
396,fairbanks,64.8378,-147.7164,-22.02,81,0,0.0,US,1673660750
397,vila,42.0304,-8.1588,6.49,94,100,2.26,PT,1673660751
398,kushiro,42.975,144.3747,1.53,80,75,3.6,JP,1673660752
399,oriximina,-1.7656,-55.8661,23.62,93,100,0.88,BR,1673660753
400,maxixe,-23.8597,35.3472,24.18,90,14,2.81,MZ,1673660754
401,tukrah,32.5341,20.5791,14.92,62,88,4.65,LY,1673660755
402,gizo,-8.103,156.8419,26.51,81,100,2.8,SB,1673660756
403,tarbagatay,51.4803,107.3602,-37.26,89,100,1.84,RU,1673660757
404,kuusamo,65.9667,29.1833,-0.98,93,100,4.12,FI,1673660757
405,ha giang,22.8333,104.9833,22.95,58,0,0.36,VN,1673660758
406,tsagan aman,47.5639,46.7218,-7.98,70,0,7.04,RU,1673660759
407,puerto carreno,6.189,-67.4859,25.92,76,100,0.61,CO,1673660760
408,gwembe,-16.4975,27.6069,16.53,96,96,0.9,ZM,1673660760
409,srednekolymsk,67.45,153.6833,-33.43,94,100,1.24,RU,1673660761
410,suluq,31.6682,20.2521,13.21,65,47,2.59,LY,1673660762
411,simao,22.7886,100.9748,14.73,44,0,1.05,CN,1673660763
412,naze,28.3667,129.4833,21.51,78,98,8.53,JP,1673660674
413,camacha,33.0833,-16.3333,14.68,63,75,4.63,PT,1673660763
414,talnakh,69.4865,88.3972,-38.37,86,22,2.98,RU,1673660764
415,matara,5.9485,80.5353,23.48,82,78,1.57,LK,1673660765
416,barmer,25.75,71.3833,7.93,43,0,3.46,IN,1673660767
417,san clemente,33.427,-117.612,16.73,77,100,0.45,US,1673660768
418,pietarsaari,63.65,22.6833,1.11,98,100,4.63,FI,1673660769
419,soyo,-6.1349,12.3689,24.83,85,46,2.39,AO,1673660770
420,sobral,-3.6861,-40.3497,24.25,79,27,1.33,BR,1673660770
421,aykino,62.2248,49.9922,-5.73,93,100,3.9,RU,1673660771
422,pangody,65.85,74.4859,-21.43,98,94,3.84,RU,1673660771
423,teya,60.3778,92.6267,-23.53,99,100,1.45,RU,1673660772
424,ahuimanu,21.4447,-157.8378,28.52,59,20,4.63,US,1673660773
425,obo,5.3998,26.4869,19.71,35,1,2.04,CF,1673660774
426,gatesville,31.4352,-97.7439,9.64,52,0,2.55,US,1673660776
427,allonnes,47.9674,0.1581,10.02,93,75,4.12,FR,1673660776
428,carahue,-38.7,-73.1667,11.67,92,53,2.16,CL,1673660777
429,tiznit,29.5833,-9.5,14.48,44,0,1.84,MA,1673660778
430,brigantine,39.4101,-74.3646,5.01,71,40,7.2,US,1673660779
431,kiunga,-6.1219,141.2906,26.83,77,100,0.96,PG,1673660779
432,suntar,62.1444,117.6319,-44.77,99,100,1.89,RU,1673660781
433,tuzser,48.3441,22.1176,4.32,91,100,2.41,HU,1673660783
434,sovetskaya gavan,48.9723,140.2878,-17.11,82,94,3.82,RU,1673660784
435,waddan,29.1614,16.139,9.83,77,25,2.59,LY,1673660785
436,waren,53.5167,12.6833,6.68,84,97,7.51,DE,1673660785
437,merrill,45.1805,-89.6835,-6.13,93,100,0.0,US,1673660786
438,requena,39.4883,-1.1004,4.33,74,15,2.41,ES,1673660787
439,muyezerskiy,63.9333,31.65,0.36,97,100,5.61,RU,1673660787
440,kenai,60.5544,-151.2583,-2.17,80,100,3.6,US,1673660788
441,mineral wells,32.8085,-98.1128,10.19,43,0,3.09,US,1673660788
442,kaura namoda,12.5898,6.5779,16.55,17,18,5.01,NG,1673660789
443,cockburn town,21.4612,-71.1419,24.98,78,75,4.12,TC,1673660790
444,methoni,36.8197,21.7049,9.56,69,36,2.23,GR,1673660792
445,vestmannaeyjar,63.4427,-20.2734,-1.09,67,95,6.32,IS,1673660793
446,oranjemund,-28.55,16.4333,16.06,94,3,3.35,NA,1673660794
447,jiuquan,39.7432,98.5174,-11.99,61,100,0.28,CN,1673660795
448,sidi ali,36.0998,0.4206,10.88,89,0,1.73,DZ,1673660796
449,gimbi,9.1667,35.8333,13.44,68,72,0.63,ET,1673660796
450,tessalit,20.1986,1.0114,17.03,22,98,3.64,ML,1673660796
451,hualmay,-11.0964,-77.6139,20.84,79,100,2.99,PE,1673660797
452,coria,39.9879,-6.5377,4.69,89,100,0.57,ES,1673660798
453,ende,-8.8432,121.6623,29.6,66,100,1.49,ID,1673660799
454,manjeshwar,12.7194,74.8861,21.53,82,100,2.45,IN,1673660799
455,brigham city,41.5102,-112.0155,4.45,83,0,0.89,US,1673660800
456,mount isa,-20.7333,139.5,27.87,65,100,3.09,AU,1673660802
457,vangaindrano,-23.35,47.6,22.74,90,63,0.21,MG,1673660802
458,trairi,-3.2778,-39.2689,26.01,83,70,4.6,BR,1673660803
459,strezhevoy,60.7333,77.5889,-13.25,95,100,4.59,RU,1673660804
460,zhuhai,22.2769,113.5678,23.25,100,40,2.57,CN,1673660805
461,port moresby,-9.4431,147.1797,30.68,66,40,5.14,PG,1673660806
462,farrukhnagar,17.0778,78.2011,13.84,60,31,1.12,IN,1673660807
463,malumfashi,11.7853,7.6218,14.4,18,77,4.26,NG,1673660807
464,avera,33.194,-82.5271,6.03,63,96,7.53,US,1673660808
465,mapiri,-15.25,-68.1667,22.12,97,100,0.7,BO,1673660808
466,preston,53.7667,-2.7167,7.72,93,100,8.68,GB,1673660512
467,zapadnaya dvina,56.259,32.0745,-1.68,94,100,4.8,RU,1673660809
468,nishihara,26.1842,127.7558,23.81,82,40,7.72,JP,1673660564
469,lowestoft,52.4752,1.7516,6.8,85,100,6.79,GB,1673660810
470,araouane,18.9048,-3.5265,18.87,13,100,3.92,ML,1673660812
471,wuzhou,23.4833,111.3167,22.28,79,0,1.66,CN,1673660690
472,waterloo,43.4668,-80.5164,-4.74,86,100,5.36,CA,1673660651
473,barbosa ferraz,-24.03,-52.0117,20.94,99,100,1.31,BR,1673660813
474,tirau,-37.9833,175.75,26.19,66,69,2.11,NZ,1673660813
475,mayumba,-3.432,10.6554,24.61,85,99,0.89,GA,1673660814
476,porto novo,6.4965,2.6036,24.3,87,100,2.35,BJ,1673660814
477,laguna,38.421,-121.4238,13.36,93,100,6.17,US,1673660815
478,chernyshevskiy,63.0128,112.4714,-46.98,100,100,0.58,RU,1673660817
479,guarapari,-20.6667,-40.4975,25.5,91,87,6.35,BR,1673660819
480,hashtrud,37.4779,47.0508,-8.71,93,100,0.62,IR,1673660820
481,kachiry,53.0675,76.1036,-14.61,94,100,6.1,KZ,1673660821
482,katangli,51.7102,143.2326,-25.91,85,15,5.78,RU,1673660821
483,kyra,49.5776,111.9753,-28.05,80,5,1.35,RU,1673660822
484,nicoya,10.1483,-85.452,24.18,71,100,5.84,CR,1673660822
485,maragogi,-9.0122,-35.2225,25.33,82,25,3.88,BR,1673660823
486,gambela,8.25,34.5833,24.42,58,42,1.32,ET,1673660824
487,abu dhabi,24.4667,54.3667,18.01,69,0,3.09,AE,1673660825
488,kyabe,9.4515,18.9449,22.03,25,4,2.1,TD,1673660825
489,belaya gora,68.5333,146.4167,-34.2,98,100,3.18,RU,1673660826
490,puerto suarez,-18.95,-57.8,22.65,98,89,1.28,BO,1673660827
491,longyearbyen,78.2186,15.6401,-1.09,74,75,12.35,SJ,1673660827
492,flinders,-34.5833,150.8552,25.7,68,98,2.68,AU,1673660828
493,lumajang,-8.1335,113.2248,29.09,64,52,1.49,ID,1673660530
494,albury,-36.0833,146.9167,35.01,75,0,3.13,AU,1673660701
495,berekum,7.4534,-2.584,20.73,32,22,2.06,GH,1673660831
496,antropovo,58.3988,43.0066,-7.87,94,100,4.39,RU,1673660832
497,tonantins,-2.8731,-67.8022,22.16,94,99,0.93,BR,1673660833
498,tomatlan,19.9333,-105.25,20.92,78,0,0.38,MX,1673660833
499,show low,34.2542,-110.0298,6.16,53,0,3.09,US,1673660834
500,cayenne,4.9333,-52.3333,25.02,88,100,2.06,GF,1673660833
501,sisophon,13.5859,102.9737,27.34,64,57,2.26,KH,1673660835
502,pullman,46.7313,-117.1796,8.8,75,75,4.92,US,1673660836
503,elko,41.0002,-115.5012,1.24,82,100,1.79,US,1673660837
504,havre-saint-pierre,50.2334,-63.5986,-4.0,86,100,9.26,CA,1673660837
505,gonbad-e qabus,37.25,55.1672,-0.88,34,2,0.57,IR,1673660838
506,camocim,-2.9022,-40.8411,25.66,82,66,5.14,BR,1673660838
507,pringsewu,-5.3582,104.9744,27.45,73,97,2.35,ID,1673660839
508,svetlyy,54.675,20.1347,6.03,83,72,8.34,RU,1673660839
509,van,38.4924,43.3831,-6.36,73,75,3.6,TR,1673660841
510,derbent,42.0678,48.2899,2.09,85,100,5.22,RU,1673660841
511,fort smith,35.3859,-94.3986,2.41,73,0,4.63,US,1673660841
512,hargeysa,9.56,44.065,14.13,92,84,4.01,SO,1673660842
513,taloqan,36.7361,69.5345,-15.1,67,0,2.35,AF,1673660842
514,el alto,-4.2714,-81.2147,20.81,72,99,4.48,PE,1673660843
515,portland,45.5234,-122.6762,11.86,92,100,4.12,US,1673660585
516,westport,41.1415,-73.3579,5.9,72,100,5.66,US,1673660845
517,kaitangata,-46.2817,169.8464,16.92,58,31,3.49,NZ,1673660845
518,baykit,61.67,96.37,-37.06,100,93,0.95,RU,1673660846
519,sabinas hidalgo,26.5,-100.1667,12.32,28,0,1.93,MX,1673660846
520,ambon,-3.6954,128.1814,30.08,70,40,2.06,ID,1673660847
521,bognor regis,50.7821,-0.6798,10.06,96,100,11.3,GB,1673660847
522,emerald,-23.5333,148.1667,22.69,77,100,8.42,AU,1673660848
523,orange,33.7,-117.7675,17.49,70,75,0.0,US,1673660848
524,mastic beach,40.7668,-72.8521,6.66,80,100,4.47,US,1673660849
525,salinopolis,-0.6136,-47.3561,25.91,85,87,4.47,BR,1673660850
526,teguldet,57.3064,88.1667,-14.78,94,100,4.6,RU,1673660850
527,nesna,66.1967,13.0213,2.04,92,100,5.29,NO,1673660851
528,jambi,-1.6,103.6167,27.27,74,99,0.66,ID,1673660851
529,kambove,-10.8764,26.5969,15.04,98,100,0.99,CD,1673660852
530,shakiso,5.75,38.9167,9.93,54,19,1.76,ET,1673660853
531,salinas,36.6777,-121.6555,15.35,78,100,2.0,US,1673660854
532,aguimes,27.9054,-15.4461,16.35,77,20,4.63,ES,1673660771
533,tecpan,14.7623,-90.9947,13.12,96,8,2.8,GT,1673660856
534,krasnozerskoye,53.9828,79.2374,-15.68,88,100,7.51,RU,1673660857
535,trencin,48.8333,18.25,2.96,93,100,1.3,SK,1673660858
536,garowe,8.4054,48.4845,19.33,74,49,4.64,SO,1673660859
537,lincoln,40.8,-96.667,-2.62,78,0,2.57,US,1673660860
538,bafra,41.5678,35.9069,8.35,46,100,1.57,TR,1673660860
